Date,Open,High,Low,Close,Adj Close,Volume
2015-12-28,776.599976,777.599976,758.340027,758.880005,758.880005,2794200
2016-01-04,743.000000,752.000000,713.000000,714.469971,714.469971,12585100
2016-01-11,716.609985,734.739990,685.369995,694.450012,694.450012,12450700
2016-01-18,703.299988,728.130005,673.260010,725.250000,725.250000,10137100
2016-01-25,723.580017,744.989990,694.390015,742.950012,742.950012,11388300
2016-02-01,750.460022,789.869995,680.150024,683.570007,683.570007,27932700
2016-02-08,667.849976,701.309998,663.059998,682.400024,682.400024,15659700
2016-02-15,692.979980,712.349976,685.049988,700.909973,700.909973,8485100
2016-02-22,707.450012,713.429993,680.780029,705.070007,705.070007,9808400
2016-02-29,700.320007,720.000000,697.679993,710.890015,710.890015,10191600
2016-03-07,706.900024,726.919983,685.340027,726.820007,726.820007,11287200
2016-03-14,726.809998,743.070007,724.510010,737.599976,737.599976,9905200
2016-03-21,736.500000,745.719971,731.000000,735.299988,735.299988,6133200
2016-03-28,736.789978,757.880005,728.760010,749.909973,749.909973,8283000
2016-04-04,750.059998,752.799988,735.369995,739.150024,739.150024,6064200
2016-04-11,743.020020,761.000000,731.010010,759.000000,759.000000,7224800
2016-04-18,760.460022,769.900024,713.609985,718.770020,718.770020,14130900
2016-04-25,716.099976,725.765991,689.000000,693.010010,693.010010,13157400
2016-05-02,697.630005,711.859985,689.010010,711.119995,711.119995,8395400
2016-05-09,712.000000,724.479980,709.000000,710.830017,710.830017,7447200
2016-05-16,709.130005,721.520020,696.799988,709.739990,709.739990,8583700
2016-05-23,706.530029,733.935974,704.179993,732.659973,732.659973,8440700
2016-05-30,731.739990,739.729980,720.559998,722.340027,722.340027,5951200
2016-06-06,724.909973,729.539978,714.609985,719.409973,719.409973,6690500
2016-06-13,716.510010,725.440002,688.452026,691.719971,691.719971,9164400
2016-06-20,698.770020,702.770020,673.450012,675.219971,675.219971,11352800
2016-06-27,671.000000,700.650024,663.283997,699.210022,699.210022,9677800
2016-07-04,696.059998,705.710022,688.215027,705.630005,705.630005,5753900
2016-07-11,708.049988,725.739990,707.239990,719.849976,719.849976,5614100
2016-07-18,722.710022,743.239990,721.190002,742.739990,742.739990,6098800
2016-07-25,740.669983,778.549988,734.270020,768.789978,768.789978,11103300
2016-08-01,761.090027,783.039978,761.090027,782.219971,782.219971,8713900
2016-08-08,782.000000,789.750000,778.091003,783.219971,783.219971,4928800
2016-08-15,783.750000,787.489990,773.130005,775.419983,775.419983,4471300
2016-08-22,773.270020,776.440002,763.184998,769.539978,769.539978,5045200
2016-08-29,768.739990,774.989990,764.299988,771.460022,771.460022,5224000
2016-09-05,773.450012,782.729980,759.659973,759.659973,759.659973,5492300
2016-09-12,755.130005,773.799988,754.000000,768.880005,768.880005,7147800
2016-09-19,772.419983,789.849976,764.440979,786.900024,786.900024,6217300
2016-09-26,782.739990,785.989990,773.070007,777.289978,777.289978,6696200
2016-10-03,774.250000,782.070007,769.500000,775.080017,775.080017,5945300
